hvCathode_kv,efield_kvcm,pedestalFile,chargeFile,lightFile,goodForAnalysis,sipmBias_v,comments1,comments2,comments3,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_14_38_27_CEST.h5,20210402_143713.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_15_18_31_CEST.h5,20210402_151800.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_16_18_37_CEST.h5,20210402_161803.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_16_58_41_CEST.h5,20210402_165801.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_17_38_45_CEST.h5,20210402_173825.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_18_18_49_CEST.h5,20210402_181802.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_19_57_55_CEST.h5,20210402_195609.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_20_37_59_CEST.h5,20210402_203653.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_21_18_04_CEST.h5,20210402_211722.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_21_58_08_CEST.h5,20210402_215730.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
15.099,0.500,raw_2021_04_03_01_39_49_CEST.h5,raw_2021_04_02_22_38_12_CEST.h5,20210402_223712.data,***,40+7(6),Cosmics. LDS trig by afi-adc64-system (~220k events. rate ~ 200 Hz).256 samples. LCM sums at 1500 (LCM gain +11dB. ACL gain +31dB). ALL SiPM bias 40+7. but ACL001 40+6,very good for analysis (full time overlap),,
